E0723 14:21:51.831403       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:48708->10.224.0.4:10250: use of closed network connection" connectionID=3
E0723 14:21:51.831418       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:48708->10.224.0.4:10250: use of closed network connection" connectionID=3
I0723 14:21:51.831454       1 client.go:492] "Exiting remoteToProxy" connectionID=3
I0723 14:21:51.831466       1 client.go:534] "Exiting proxyToRemote" connectionID=3
E0723 14:21:56.026375       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:33884->10.224.0.5:20257: use of closed network connection" connectionID=11
I0723 14:21:56.026427       1 client.go:492] "Exiting remoteToProxy" connectionID=11
I0723 14:21:56.026457       1 client.go:534] "Exiting proxyToRemote" connectionID=11
E0723 14:22:19.202337       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:39696->10.244.0.5:4443: use of closed network connection" connectionID=9
E0723 14:22:19.202359       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:39696->10.244.0.5:4443: use of closed network connection" connectionID=9
I0723 14:22:19.202410       1 client.go:534] "Exiting proxyToRemote" connectionID=9
I0723 14:22:19.202430       1 client.go:492] "Exiting remoteToProxy" connectionID=9
E0723 14:22:24.434641       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:51200->10.224.0.4:19100: use of closed network connection" connectionID=7
I0723 14:22:24.434701       1 client.go:492] "Exiting remoteToProxy" connectionID=7
I0723 14:22:24.434737       1 client.go:534] "Exiting proxyToRemote" connectionID=7
E0723 14:22:35.737460       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:49324->10.224.0.5:10249: use of closed network connection" connectionID=17
I0723 14:22:35.737511       1 client.go:492] "Exiting remoteToProxy" connectionID=17
I0723 14:22:35.737547       1 client.go:534] "Exiting proxyToRemote" connectionID=17
E0723 14:22:36.832943       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:48704->10.224.0.4:10250: use of closed network connection" connectionID=2
I0723 14:22:36.833009       1 client.go:492] "Exiting remoteToProxy" connectionID=2
E0723 14:22:36.833040       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:48704->10.224.0.4:10250: use of closed network connection" connectionID=2
I0723 14:22:36.833049       1 client.go:534] "Exiting proxyToRemote" connectionID=2
E0723 14:23:19.258442       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:40116->10.244.0.5:4443: use of closed network connection" connectionID=16
E0723 14:23:19.258474       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:40116->10.244.0.5:4443: use of closed network connection" connectionID=16
I0723 14:23:19.258489       1 client.go:534] "Exiting proxyToRemote" connectionID=16
I0723 14:23:19.258493       1 client.go:492] "Exiting remoteToProxy" connectionID=16
E0723 14:24:21.075312       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:48852->10.224.0.6:20257: use of closed network connection" connectionID=12
I0723 14:24:21.075413       1 client.go:492] "Exiting remoteToProxy" connectionID=12
I0723 14:24:21.075663       1 client.go:534] "Exiting proxyToRemote" connectionID=12
E0723 14:24:21.936670       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:45432->10.244.1.4:9153: use of closed network connection" connectionID=18
I0723 14:24:21.936742       1 client.go:492] "Exiting remoteToProxy" connectionID=18
I0723 14:24:21.936790       1 client.go:534] "Exiting proxyToRemote" connectionID=18
I0723 14:25:01.431249       1 client.go:507] "connection EOF" connectionID=11
I0723 14:25:01.431338       1 client.go:492] "Exiting remoteToProxy" connectionID=11
I0723 14:25:01.431353       1 client.go:534] "Exiting proxyToRemote" connectionID=11
E0723 14:25:19.324033       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:41220->10.244.0.5:4443: use of closed network connection" connectionID=19
E0723 14:25:19.324043       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:41220->10.244.0.5:4443: use of closed network connection" connectionID=19
I0723 14:25:19.324119       1 client.go:534] "Exiting proxyToRemote" connectionID=19
I0723 14:25:19.324143       1 client.go:492] "Exiting remoteToProxy" connectionID=19
E0723 14:25:32.516194       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:40406->10.244.0.4:4443: use of closed network connection" connectionID=9
I0723 14:25:32.516481       1 client.go:492] "Exiting remoteToProxy" connectionID=9
E0723 14:25:32.516221       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:40406->10.244.0.4:4443: use of closed network connection" connectionID=9
I0723 14:25:32.516568       1 client.go:534] "Exiting proxyToRemote" connectionID=9
E0723 14:26:31.456842       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:54158->10.224.0.5:10256: use of closed network connection" connectionID=12
I0723 14:26:31.457221       1 client.go:492] "Exiting remoteToProxy" connectionID=12
I0723 14:26:31.456919       1 client.go:534] "Exiting proxyToRemote" connectionID=12
E0723 14:26:31.855505       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:39102->10.224.0.6:10256: use of closed network connection" connectionID=13
I0723 14:26:31.855576       1 client.go:492] "Exiting remoteToProxy" connectionID=13
I0723 14:26:31.855619       1 client.go:534] "Exiting proxyToRemote" connectionID=13
E0723 14:26:35.074915       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:42346->10.244.0.4:4443: use of closed network connection" connectionID=10
I0723 14:26:35.074946       1 client.go:534] "Exiting proxyToRemote" connectionID=10
E0723 14:26:35.074916       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42346->10.244.0.4:4443: use of closed network connection" connectionID=10
I0723 14:26:35.074960       1 client.go:492] "Exiting remoteToProxy" connectionID=10
I0723 14:26:48.344753       1 client.go:507] "connection EOF" connectionID=21
I0723 14:26:48.344902       1 client.go:492] "Exiting remoteToProxy" connectionID=21
I0723 14:26:48.344920       1 client.go:534] "Exiting proxyToRemote" connectionID=21
I0723 14:26:48.749730       1 client.go:507] "connection EOF" connectionID=3
I0723 14:26:48.749841       1 client.go:492] "Exiting remoteToProxy" connectionID=3
I0723 14:26:48.749859       1 client.go:534] "Exiting proxyToRemote" connectionID=3
I0723 14:26:48.749869       1 client.go:507] "connection EOF" connectionID=4
I0723 14:26:48.749901       1 client.go:492] "Exiting remoteToProxy" connectionID=4
I0723 14:26:48.749915       1 client.go:534] "Exiting proxyToRemote" connectionID=4
I0723 14:26:48.758913       1 client.go:507] "connection EOF" connectionID=2
I0723 14:26:48.759017       1 client.go:492] "Exiting remoteToProxy" connectionID=2
I0723 14:26:48.759034       1 client.go:534] "Exiting proxyToRemote" connectionID=2
E0723 14:26:49.842850       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42354->10.244.0.5:4443: use of closed network connection" connectionID=12
E0723 14:26:49.842932       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42352->10.244.0.5:4443: use of closed network connection" connectionID=11
E0723 14:26:49.842975       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42350->10.244.0.5:4443: use of closed network connection" connectionID=10
E0723 14:26:49.843016       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42346->10.244.0.5:4443: use of closed network connection" connectionID=14
I0723 14:26:49.843039       1 client.go:492] "Exiting remoteToProxy" connectionID=14
E0723 14:26:49.843067       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:42354->10.244.0.5:4443: use of closed network connection" connectionID=12
I0723 14:26:49.843074       1 client.go:534] "Exiting proxyToRemote" connectionID=12
I0723 14:26:49.843118       1 client.go:492] "Exiting remoteToProxy" connectionID=12
E0723 14:26:49.843133       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:42350->10.244.0.5:4443: use of closed network connection" connectionID=10
I0723 14:26:49.843139       1 client.go:534] "Exiting proxyToRemote" connectionID=10
I0723 14:26:49.843151       1 client.go:534] "Exiting proxyToRemote" connectionID=11
I0723 14:26:49.843159       1 client.go:492] "Exiting remoteToProxy" connectionID=11
I0723 14:26:49.843166       1 client.go:492] "Exiting remoteToProxy" connectionID=10
I0723 14:26:49.843177       1 client.go:534] "Exiting proxyToRemote" connectionID=14
E0723 14:26:49.843713       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42364->10.244.0.5:4443: use of closed network connection" connectionID=25
E0723 14:26:49.843781       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42362->10.244.0.5:4443: use of closed network connection" connectionID=24
E0723 14:26:49.843832       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42358->10.244.0.5:4443: use of closed network connection" connectionID=22
E0723 14:26:49.843874       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42360->10.244.0.5:4443: use of closed network connection" connectionID=23
I0723 14:26:49.843893       1 client.go:492] "Exiting remoteToProxy" connectionID=23
I0723 14:26:49.843945       1 client.go:534] "Exiting proxyToRemote" connectionID=25
I0723 14:26:49.843954       1 client.go:492] "Exiting remoteToProxy" connectionID=25
I0723 14:26:49.843965       1 client.go:534] "Exiting proxyToRemote" connectionID=24
I0723 14:26:49.843974       1 client.go:492] "Exiting remoteToProxy" connectionID=24
I0723 14:26:49.843985       1 client.go:534] "Exiting proxyToRemote" connectionID=22
I0723 14:26:49.843992       1 client.go:492] "Exiting remoteToProxy" connectionID=22
I0723 14:26:49.844022       1 client.go:534] "Exiting proxyToRemote" connectionID=23
